system,condition,n,accuracy,avg_prompt_tokens_approx,avg_cost_normalized_task_success,wrong_turn_recovery_rate,stale_belief_persistence,assistant_assumption_survival,correction_uptake,deprecated_belief_leakage
raw_history,full_info,10,0.3,557.2,0.5469,0.0,0.0,0.0,0.0,0.0
raw_history,incremental_no_overturn,10,0.6,1047.9,0.5956,0.0,0.0,0.0,0.0,0.0
raw_history,incremental_overturn_reasoning,10,0.4,1054.6,0.386,0.4,0.6,0.6,0.4,0.0
running_summary,full_info,10,0.1,557.2,0.1761,0.0,0.0,0.0,0.0,0.0
running_summary,incremental_no_overturn,10,0.4,914.5,0.4524,0.0,0.0,0.0,0.0,0.0
running_summary,incremental_overturn_reasoning,10,0.5,917.0,0.5695,0.4,0.5,0.5,0.5,0.0
source_no_revision,full_info,10,0.2,557.2,0.3637,0.0,0.0,0.0,0.0,0.0
source_no_revision,incremental_no_overturn,10,0.9,924.3,0.9858,0.0,0.0,0.0,0.0,0.0
source_no_revision,incremental_overturn_reasoning,10,0.2,932.1,0.2246,0.2,0.8,0.8,0.2,0.0
source_revision,full_info,10,0.1,557.2,0.1761,0.0,0.0,0.0,0.0,0.0
source_revision,incremental_no_overturn,10,0.3,937.5,0.325,0.0,0.0,0.0,0.0,0.0
source_revision,incremental_overturn_reasoning,10,0.9,945.1,0.9601,0.9,0.1,0.1,0.9,0.0
structured_no_source,full_info,10,0.1,557.2,0.1761,0.0,0.0,0.0,0.0,0.0
structured_no_source,incremental_no_overturn,10,0.8,872.5,0.9243,0.0,0.0,0.0,0.0,0.0
structured_no_source,incremental_overturn_reasoning,10,0.2,880.1,0.2328,0.2,0.8,0.8,0.2,0.0
