system,condition,n,accuracy,avg_prompt_tokens_approx,avg_cost_normalized_task_success,wrong_turn_recovery_rate,stale_belief_persistence,assistant_assumption_survival,correction_uptake,deprecated_belief_leakage
raw_history,full_info,50,0.52,1041.34,0.4987,0.0,0.0,0.0,0.0,0.0
raw_history,incremental_no_overturn,50,0.82,1338.6,0.6157,0.0,0.0,0.0,0.0,0.0
raw_history,incremental_overturn_reasoning,50,0.22,1342.38,0.1638,0.16,0.78,0.78,0.22,0.0
running_summary,full_info,50,0.5,1041.34,0.4794,0.0,0.0,0.0,0.0,0.0
running_summary,incremental_no_overturn,50,0.6,1216.88,0.4976,0.0,0.0,0.0,0.0,0.0
running_summary,incremental_overturn_reasoning,50,0.46,1219.66,0.3786,0.44,0.54,0.54,0.46,0.0
source_no_revision,full_info,50,0.52,1041.34,0.4987,0.0,0.0,0.0,0.0,0.0
source_no_revision,incremental_no_overturn,50,0.86,1203.96,0.7163,0.0,0.0,0.0,0.0,0.0
source_no_revision,incremental_overturn_reasoning,50,0.18,1208.82,0.1501,0.16,0.82,0.82,0.18,0.0
source_revision,full_info,50,0.5,1041.34,0.4794,0.0,0.0,0.0,0.0,0.0
source_revision,incremental_no_overturn,50,0.6,1281.0,0.4713,0.0,0.0,0.0,0.0,0.0
source_revision,incremental_overturn_reasoning,50,0.4,1285.78,0.3092,0.38,0.6,0.6,0.4,0.0
structured_no_source,full_info,50,0.5,1041.34,0.479,0.0,0.0,0.0,0.0,0.0
structured_no_source,incremental_no_overturn,50,0.88,1167.96,0.7574,0.0,0.0,0.0,0.0,0.0
structured_no_source,incremental_overturn_reasoning,50,0.12,1172.82,0.1049,0.08,0.88,0.88,0.12,0.0
