dataset_name,system,condition,n,accuracy,avg_prompt_tokens_approx,avg_cost_normalized_task_success,wrong_turn_recovery_rate,stale_belief_persistence,assistant_assumption_survival,correction_uptake,deprecated_belief_leakage
belief_r_api_openai_medium_ablation,raw_history,full_info,10,0.3,557.2,0.5469,0.0,0.0,0.0,0.0,0.0
belief_r_api_openai_medium_ablation,raw_history,incremental_no_overturn,10,0.6,1047.9,0.5956,0.0,0.0,0.0,0.0,0.0
belief_r_api_openai_medium_ablation,raw_history,incremental_overturn_reasoning,10,0.4,1054.6,0.386,0.4,0.6,0.6,0.4,0.0
belief_r_api_openai_medium_ablation,running_summary,full_info,10,0.1,557.2,0.1761,0.0,0.0,0.0,0.0,0.0
belief_r_api_openai_medium_ablation,running_summary,incremental_no_overturn,10,0.4,914.5,0.4524,0.0,0.0,0.0,0.0,0.0
belief_r_api_openai_medium_ablation,running_summary,incremental_overturn_reasoning,10,0.5,917.0,0.5695,0.4,0.5,0.5,0.5,0.0
belief_r_api_openai_medium_ablation,source_no_revision,full_info,10,0.2,557.2,0.3637,0.0,0.0,0.0,0.0,0.0
belief_r_api_openai_medium_ablation,source_no_revision,incremental_no_overturn,10,0.9,924.3,0.9858,0.0,0.0,0.0,0.0,0.0
belief_r_api_openai_medium_ablation,source_no_revision,incremental_overturn_reasoning,10,0.2,932.1,0.2246,0.2,0.8,0.8,0.2,0.0
belief_r_api_openai_medium_ablation,source_revision,full_info,10,0.1,557.2,0.1761,0.0,0.0,0.0,0.0,0.0
belief_r_api_openai_medium_ablation,source_revision,incremental_no_overturn,10,0.3,937.5,0.325,0.0,0.0,0.0,0.0,0.0
belief_r_api_openai_medium_ablation,source_revision,incremental_overturn_reasoning,10,0.9,945.1,0.9601,0.9,0.1,0.1,0.9,0.0
belief_r_api_openai_medium_ablation,structured_no_source,full_info,10,0.1,557.2,0.1761,0.0,0.0,0.0,0.0,0.0
belief_r_api_openai_medium_ablation,structured_no_source,incremental_no_overturn,10,0.8,872.5,0.9243,0.0,0.0,0.0,0.0,0.0
belief_r_api_openai_medium_ablation,structured_no_source,incremental_overturn_reasoning,10,0.2,880.1,0.2328,0.2,0.8,0.8,0.2,0.0
atomic_explicit_openai_small,raw_history,full_info,4,0.5,569.25,0.8865,0.0,0.0,0.0,0.0,0.0
atomic_explicit_openai_small,raw_history,incremental_no_overturn,4,1.0,994.5,1.0057,0.0,0.0,0.0,0.0,0.0
atomic_explicit_openai_small,raw_history,incremental_overturn_reasoning,4,1.0,1006.0,0.9941,1.0,0.0,0.0,1.0,0.0
atomic_explicit_openai_small,running_summary,full_info,4,0.75,569.25,1.3236,0.0,0.0,0.0,0.0,0.0
atomic_explicit_openai_small,running_summary,incremental_no_overturn,4,1.0,879.5,1.1371,0.0,0.0,0.0,0.0,0.0
atomic_explicit_openai_small,running_summary,incremental_overturn_reasoning,4,1.0,890.75,1.1228,1.0,0.0,0.0,1.0,0.0
atomic_explicit_openai_small,source_no_revision,full_info,4,0.75,569.25,1.3198,0.0,0.0,0.0,0.0,0.0
atomic_explicit_openai_small,source_no_revision,incremental_no_overturn,4,1.0,896.25,1.1159,0.0,0.0,0.0,0.0,0.0
atomic_explicit_openai_small,source_no_revision,incremental_overturn_reasoning,4,1.0,906.0,1.1038,1.0,0.0,0.0,1.0,0.0
atomic_explicit_openai_small,source_revision,full_info,4,1.0,569.25,1.7569,0.0,0.0,0.0,0.0,0.0
atomic_explicit_openai_small,source_revision,incremental_no_overturn,4,1.0,909.25,1.0999,0.0,0.0,0.0,0.0,0.0
atomic_explicit_openai_small,source_revision,incremental_overturn_reasoning,4,1.0,919.0,1.0882,1.0,0.0,0.0,1.0,0.0
atomic_explicit_openai_small,structured_no_source,full_info,4,0.5,569.25,0.8865,0.0,0.0,0.0,0.0,0.0
atomic_explicit_openai_small,structured_no_source,incremental_no_overturn,4,1.0,844.25,1.1846,0.0,0.0,0.0,0.0,0.0
atomic_explicit_openai_small,structured_no_source,incremental_overturn_reasoning,4,1.0,854.0,1.171,1.0,0.0,0.0,1.0,0.0
reviseqa_openai_small_v2_exploratory,raw_history,full_info,4,0.25,579.5,0.395,0.0,0.0,0.0,0.0,0.0
reviseqa_openai_small_v2_exploratory,raw_history,incremental_no_overturn,4,0.5,1164.5,0.4322,0.0,0.0,0.0,0.0,0.0
reviseqa_openai_small_v2_exploratory,raw_history,incremental_overturn_reasoning,4,0.0,1275.5,0.0,0.0,0.0,0.0,0.0,0.0
reviseqa_openai_small_v2_exploratory,running_summary,full_info,4,0.25,579.5,0.395,0.0,0.0,0.0,0.0,0.0
